id_nestbox;site;year;date;laying_date;incubation_date;hatching_date;clutch_size;brood_size;fledgling_nb;success;father_id;mother_id;id_bird;id_ring;species;sex;age;adult_mass;adult_tarsus_l;adult_wing_l;adult_aggress;nestling_mass_j13;nestling_mass_j14;nestling_tarsus_l;nestling_wing_l
DIJ-003;drapeau;2021;20/05/2021;12/04/2021;23/04/2021;07/05/2021;13;13;6;1;NA;NA;THPAGCC0870;NA;CC;unknown;nestling;NA;NA;NA;NA;9,32;NA;15,51;30,00
DIJ-003;drapeau;2021;20/05/2021;12/04/2021;23/04/2021;07/05/2021;13;13;6;1;NA;NA;THPAGCC0871;NA;CC;unknown;nestling;NA;NA;NA;NA;6,66;NA;14,44;24,00
DIJ-004;drapeau;2019;05/05/2019;01/04/2019;NA;NA;12;11;4;1;NA;NA;VIGARCC0064;1246BFC;CC;unknown;nestling;NA;NA;NA;NA;7,87;NA;NA;NA
DIJ-004;drapeau;2019;05/05/2019;01/04/2019;NA;NA;12;11;4;1;NA;NA;CLPECCC0055;1239BFC;CC;unknown;nestling;NA;NA;NA;NA;7,71;NA;NA;NA
DIJ-004;drapeau;2019;05/05/2019;01/04/2019;NA;NA;12;11;4;1;NA;NA;VIGARCC0065;1237BFC;CC;unknown;nestling;NA;NA;NA;NA;7,26;NA;NA;NA
DIJ-004;drapeau;2019;05/05/2019;01/04/2019;NA;NA;12;11;4;1;NA;NA;CLPECCC0056;1232BFC;CC;unknown;nestling;NA;NA;NA;NA;8,39;NA;NA;NA
DIJ-004;drapeau;2020;04/05/2020;03/04/2020;NA;NA;7;6;6;1;NA;8791875;BRFAIPM0622;8791875;PM;female;more_than_one;16,35;18,48;69,00;NA;NA;NA;NA;NA
DIJ-004;drapeau;2020;05/05/2020;03/04/2020;NA;NA;7;6;6;1;NA;8791875;BRFAIPM0623;8791874;PM;unknown;nestling;NA;NA;NA;NA;16,44;NA;19,29;NA
DIJ-004;drapeau;2020;05/05/2020;03/04/2020;NA;NA;7;6;6;1;NA;8791875;BRFAIPM0624;8791876;PM;unknown;nestling;NA;NA;NA;NA;18,21;NA;19,08;NA
DIJ-005;drapeau;2021;19/05/2021;18/04/2021;23/04/2021;06/05/2021;7;5;5;1;8876548;NA;CESINPM0900;V010500;PM;unknown;nestling;NA;NA;NA;NA;13,58;NA;19,22;40,00
DIJ-005;drapeau;2021;19/05/2021;18/04/2021;23/04/2021;06/05/2021;7;5;5;1;8876548;NA;CESINPM0901;V010401;PM;unknown;nestling;NA;NA;NA;NA;17,83;NA;20,48;41,00
DIJ-005;drapeau;2021;19/05/2021;18/04/2021;23/04/2021;06/05/2021;7;5;5;1;8876548;NA;CESINPM0902;V010402;PM;unknown;nestling;NA;NA;NA;NA;15,97;NA;19,10;39,00
DIJ-005;drapeau;2021;19/05/2021;18/04/2021;23/04/2021;06/05/2021;7;5;5;1;8876548;NA;CESINPM0903;8876548;PM;male;more_than_two;17,05;20,19;74,00;2,0;NA;NA;NA;NA
DIJ-005;drapeau;2021;19/05/2021;18/04/2021;23/04/2021;06/05/2021;7;5;5;1;8876548;NA;CESINPM0904;V010403;PM;unknown;nestling;NA;NA;NA;NA;16,84;NA;20,31;43,00
DIJ-005;drapeau;2021;19/05/2021;18/04/2021;23/04/2021;06/05/2021;7;5;5;1;8876548;NA;CESINPM0905;V010404;PM;unknown;nestling;NA;NA;NA;NA;16,04;NA;19,46;41,00
DIJ-006;drapeau;2019;05/05/2019;01/04/2019;NA;NA;10;9;7;1;NA;NA;CLPECPM0057;1238BFC;PM;unknown;nestling;NA;NA;NA;NA;17,16;NA;NA;NA
DIJ-006;drapeau;2019;05/05/2019;01/04/2019;NA;NA;10;9;7;1;NA;NA;VIGARPM0066;1233BFC;PM;unknown;nestling;NA;NA;NA;NA;15,52;NA;NA;NA
DIJ-006;drapeau;2019;05/05/2019;01/04/2019;NA;NA;10;9;7;1;NA;NA;CLPECPM0058;1231BFC;PM;unknown;nestling;NA;NA;NA;NA;14,52;NA;NA;NA
DIJ-006;drapeau;2019;05/05/2019;01/04/2019;NA;NA;10;9;7;1;NA;NA;VIGARPM0067;1235BFC;PM;unknown;nestling;NA;NA;NA;NA;12,54;NA;NA;NA
DIJ-006;drapeau;2019;05/05/2019;01/04/2019;NA;NA;10;9;7;1;NA;NA;CLPECPM0059;1234BFC;PM;unknown;nestling;NA;NA;NA;NA;17,05;NA;NA;NA
DIJ-006;drapeau;2019;05/05/2019;01/04/2019;NA;NA;10;9;7;1;NA;NA;VIGARPM0068;1236BFC;PM;unknown;nestling;NA;NA;NA;NA;14,22;NA;NA;NA
DIJ-006;drapeau;2019;05/05/2019;01/04/2019;NA;NA;10;9;7;1;NA;NA;CLPECPM0060;1240BFC;PM;unknown;nestling;NA;NA;NA;NA;15,78;NA;NA;NA
DIJ-008;drapeau;2021;08/05/2021;03/04/2021;09/04/2021;25/04/2021;8;8;7;1;8791992;NA;CESINPM0186;8791992;PM;male;more_than_two;17,16;19,95;76,00;2,0;NA;NA;NA;NA
DIJ-008;drapeau;2021;08/05/2021;03/04/2021;09/04/2021;25/04/2021;8;8;7;1;8791992;NA;CESINPM0187;V011266;PM;unknown;nestling;NA;NA;NA;NA;15,54;NA;19,04;40,00
DIJ-008;drapeau;2021;08/05/2021;03/04/2021;09/04/2021;25/04/2021;8;8;7;1;8791992;NA;CESINPM0188;V011267;PM;unknown;nestling;NA;NA;NA;NA;14,89;NA;19,03;41,00
DIJ-008;drapeau;2021;08/05/2021;03/04/2021;09/04/2021;25/04/2021;8;8;7;1;8791992;NA;CESINPM0189;V011268;PM;unknown;nestling;NA;NA;NA;NA;13,50;NA;19,60;43,00
DIJ-008;drapeau;2021;08/05/2021;03/04/2021;09/04/2021;25/04/2021;8;8;7;1;8791992;NA;CESINPM0190;V011269;PM;unknown;nestling;NA;NA;NA;NA;14,38;NA;19,79;46,00
DIJ-008;drapeau;2021;08/05/2021;03/04/2021;09/04/2021;25/04/2021;8;8;7;1;8791992;NA;CESINPM0191;V011270;PM;unknown;nestling;NA;NA;NA;NA;15,64;NA;19,62;44,00
DIJ-008;drapeau;2021;08/05/2021;03/04/2021;09/04/2021;25/04/2021;8;8;7;1;8791992;NA;CESINPM0192;V011271;PM;unknown;nestling;NA;NA;NA;NA;15,67;NA;19,86;43,00
DIJ-008;drapeau;2021;08/05/2021;03/04/2021;09/04/2021;25/04/2021;8;8;7;1;8791992;NA;CESINPM0193;V011272;PM;unknown;nestling;NA;NA;NA;NA;15,10;NA;20,85;43,00
DIJ-009;drapeau;2019;05/05/2019;01/04/2019;NA;NA;8;8;6;1;NA;NA;VIGARPM0069;1218BFC;PM;unknown;nestling;NA;NA;NA;NA;12,25;NA;NA;NA
DIJ-009;drapeau;2019;05/05/2019;01/04/2019;NA;NA;8;8;6;1;NA;NA;CLPECPM0061;1217BFC;PM;unknown;nestling;NA;NA;NA;NA;15,31;NA;NA;NA
DIJ-009;drapeau;2019;05/05/2019;01/04/2019;NA;NA;8;8;6;1;NA;NA;VIGARPM0070;1214BFC;PM;unknown;nestling;NA;NA;NA;NA;11,80;NA;NA;NA
DIJ-009;drapeau;2019;05/05/2019;01/04/2019;NA;NA;8;8;6;1;NA;NA;CLPECPM0062;1216BFC;PM;unknown;nestling;NA;NA;NA;NA;16,80;NA;NA;NA
DIJ-009;drapeau;2019;05/05/2019;01/04/2019;NA;NA;8;8;6;1;NA;NA;VIGARPM0071;1213BFC;PM;unknown;nestling;NA;NA;NA;NA;11,83;NA;NA;NA
DIJ-009;drapeau;2019;05/05/2019;01/04/2019;NA;NA;8;8;6;1;NA;NA;CLPECPM0063;1215BFC;PM;unknown;nestling;NA;NA;NA;NA;15,55;NA;NA;NA
DIJ-009;drapeau;2020;07/05/2020;08/04/2020;NA;NA;6;6;6;1;8791992;NA;BRFAIPM0684;8791992;PM;male;more_than_one;17,04;19,87;71,00;NA;NA;NA;NA;NA
DIJ-009;drapeau;2020;10/05/2020;08/04/2020;NA;NA;6;6;6;1;8791992;NA;LAPOLPM0045;8791983;PM;unknown;nestling;NA;NA;NA;NA;15,91;NA;18,30;NA
DIJ-009;drapeau;2020;10/05/2020;08/04/2020;NA;NA;6;6;6;1;8791992;NA;LAPOLPM0046;8791982;PM;unknown;nestling;NA;NA;NA;NA;11,82;NA;17,94;NA
DIJ-010;pascal_joffre;2019;02/05/2019;27/03/2019;NA;NA;11;11;7;1;NA;NA;VIGARPM0031;8382411;PM;unknown;nestling;NA;NA;NA;NA;12,71;NA;NA;NA
DIJ-010;pascal_joffre;2019;02/05/2019;27/03/2019;NA;NA;11;11;7;1;NA;NA;CLPECPM0020;8382412;PM;unknown;nestling;NA;NA;NA;NA;14,01;NA;NA;NA
DIJ-010;pascal_joffre;2019;02/05/2019;27/03/2019;NA;NA;11;11;7;1;NA;NA;VIGARPM0032;8382413;PM;unknown;nestling;NA;NA;NA;NA;13,62;NA;NA;NA
DIJ-010;pascal_joffre;2019;02/05/2019;27/03/2019;NA;NA;11;11;7;1;NA;NA;CLPECPM0021;8382414;PM;unknown;nestling;NA;NA;NA;NA;14,78;NA;NA;NA
DIJ-010;pascal_joffre;2019;02/05/2019;27/03/2019;NA;NA;11;11;7;1;NA;NA;CLPECPM0022;8382415;PM;unknown;nestling;NA;NA;NA;NA;12,06;NA;NA;NA
DIJ-010;pascal_joffre;2019;02/05/2019;27/03/2019;NA;NA;11;11;7;1;NA;NA;VIGARPM0033;8382416;PM;unknown;nestling;NA;NA;NA;NA;12,37;NA;NA;NA
DIJ-010;pascal_joffre;2019;02/05/2019;27/03/2019;NA;NA;11;11;7;1;NA;NA;VIGARPM0034;8382417;PM;unknown;nestling;NA;NA;NA;NA;13,29;NA;NA;NA
DIJ-011;pascal_joffre;2019;08/05/2019;06/04/2019;NA;NA;7;5;5;1;NA;NA;VIGARPM0194;8790820;PM;unknown;nestling;NA;NA;NA;NA;14,79;NA;NA;NA
DIJ-011;pascal_joffre;2019;08/05/2019;06/04/2019;NA;NA;7;5;5;1;NA;NA;VIGARPM0195;8790821;PM;unknown;nestling;NA;NA;NA;NA;14,46;NA;NA;NA
DIJ-011;pascal_joffre;2019;08/05/2019;06/04/2019;NA;NA;7;5;5;1;NA;NA;CLPECPM0209;8790822;PM;unknown;nestling;NA;NA;NA;NA;17,62;NA;NA;NA
DIJ-011;pascal_joffre;2019;08/05/2019;06/04/2019;NA;NA;7;5;5;1;NA;NA;VIGARPM0196;8790823;PM;unknown;nestling;NA;NA;NA;NA;18,08;NA;NA;NA
DIJ-011;pascal_joffre;2019;08/05/2019;06/04/2019;NA;NA;7;5;5;1;NA;NA;VIGARPM0197;8790824;PM;unknown;nestling;NA;NA;NA;NA;15,06;NA;NA;NA
DIJ-011;pascal_joffre;2020;29/04/2020;29/03/2020;NA;NA;8;7;4;1;8791857;NA;BRFAIPM0527;8791857;PM;male;more_than_one;18,25;20,14;77,00;NA;NA;NA;NA;NA
DIJ-011;pascal_joffre;2020;03/05/2020;29/03/2020;NA;NA;8;7;4;1;8791857;NA;BRFAIPM0620;8791873;PM;unknown;nestling;NA;NA;NA;NA;18,16;NA;20,96;NA
DIJ-011;pascal_joffre;2020;03/05/2020;29/03/2020;NA;NA;8;7;4;1;8791857;NA;BRFAIPM0621;8791872;PM;unknown;nestling;NA;NA;NA;NA;17,18;NA;19,72;NA
DIJ-011;pascal_joffre;2021;27/04/2021;26/03/2021;01/04/2021;14/04/2021;8;7;4;1;NA;8791927;CESINPM0001;8791927;PM;female;two;18,53;19,95;71,00;3,0;NA;NA;NA;NA
DIJ-011;pascal_joffre;2021;27/04/2021;26/03/2021;01/04/2021;14/04/2021;8;7;4;1;NA;8791927;CESINPM0002;V011109;PM;unknown;nestling;NA;NA;NA;NA;16,96;NA;20,01;38,00
DIJ-011;pascal_joffre;2021;27/04/2021;26/03/2021;01/04/2021;14/04/2021;8;7;4;1;NA;8791927;CESINPM0003;V011110;PM;unknown;nestling;NA;NA;NA;NA;16,10;NA;20,78;39,00
DIJ-011;pascal_joffre;2021;27/04/2021;26/03/2021;01/04/2021;14/04/2021;8;7;4;1;NA;8791927;CESINPM0004;V011111;PM;unknown;nestling;NA;NA;NA;NA;11,48;NA;18,43;29,00
DIJ-011;pascal_joffre;2021;27/04/2021;26/03/2021;01/04/2021;14/04/2021;8;7;4;1;NA;8791927;CESINPM0005;V011112;PM;unknown;nestling;NA;NA;NA;NA;8,07;NA;18,72;32,00
DIJ-012B;pascal_joffre;2021;05/05/2021;30/03/2021;02/04/2021;22/04/2021;5;3;3;1;NA;8876506;CESINPM0116;8876506;PM;female;more_than_two;15,41;18,21;71,00;1,5;NA;NA;NA;NA
DIJ-012B;pascal_joffre;2021;05/05/2021;30/03/2021;02/04/2021;22/04/2021;5;3;3;1;NA;8876506;CESINPM0117;V011213;PM;unknown;nestling;NA;NA;NA;NA;17,24;NA;19,35;48,00
DIJ-012B;pascal_joffre;2021;05/05/2021;30/03/2021;02/04/2021;22/04/2021;5;3;3;1;NA;8876506;CESINPM0118;V011214;PM;unknown;nestling;NA;NA;NA;NA;17,09;NA;19,24;45,50
DIJ-012B;pascal_joffre;2021;05/05/2021;30/03/2021;02/04/2021;22/04/2021;5;3;3;1;NA;8876506;CESINPM0119;V011215;PM;unknown;nestling;NA;NA;NA;NA;18,06;NA;19,71;45,00
DIJ-013;pascal_joffre;2021;15/05/2021;05/04/2021;13/04/2021;02/05/2021;10;10;7;1;NA;NA;THPAGCC0818;V010351;CC;unknown;nestling;NA;NA;NA;NA;7,83;NA;15,21;29,00
DIJ-013;pascal_joffre;2021;15/05/2021;05/04/2021;13/04/2021;02/05/2021;10;10;7;1;NA;NA;THPAGCC0819;V010352;CC;unknown;nestling;NA;NA;NA;NA;6,84;NA;15,64;29,00
DIJ-013;pascal_joffre;2021;15/05/2021;05/04/2021;13/04/2021;02/05/2021;10;10;7;1;NA;NA;THPAGCC0820;V010353;CC;unknown;nestling;NA;NA;NA;NA;8,68;NA;15,90;33,00
DIJ-013;pascal_joffre;2021;15/05/2021;05/04/2021;13/04/2021;02/05/2021;10;10;7;1;NA;NA;THPAGCC0821;V010354;CC;unknown;nestling;NA;NA;NA;NA;7,80;NA;15,38;32,00
DIJ-013;pascal_joffre;2021;15/05/2021;05/04/2021;13/04/2021;02/05/2021;10;10;7;1;NA;NA;THPAGCC0822;V010355;CC;unknown;nestling;NA;NA;NA;NA;9,20;NA;15,97;34,50
DIJ-013;pascal_joffre;2021;15/05/2021;05/04/2021;13/04/2021;02/05/2021;10;10;7;1;NA;NA;THPAGCC0823;V010356;CC;unknown;nestling;NA;NA;NA;NA;5,41;NA;14,28;25,50
DIJ-013;pascal_joffre;2021;15/05/2021;05/04/2021;13/04/2021;02/05/2021;10;10;7;1;NA;NA;THPAGCC0824;V010357;CC;unknown;nestling;NA;NA;NA;NA;9,02;NA;15,83;36,50
DIJ-015;pascal_joffre;2019;05/05/2019;02/04/2019;NA;NA;8;8;6;1;NA;NA;CLPECPM0064;1220BFC;PM;unknown;nestling;NA;NA;NA;NA;15,09;NA;NA;NA
DIJ-015;pascal_joffre;2019;05/05/2019;02/04/2019;NA;NA;8;8;6;1;NA;NA;VIGARPM0072;1219BFC;PM;unknown;nestling;NA;NA;NA;NA;15,19;NA;NA;NA
DIJ-015;pascal_joffre;2019;05/05/2019;02/04/2019;NA;NA;8;8;6;1;NA;NA;CLPECPM0065;1212BFC;PM;unknown;nestling;NA;NA;NA;NA;13,92;NA;NA;NA
DIJ-015;pascal_joffre;2019;05/05/2019;02/04/2019;NA;NA;8;8;6;1;NA;NA;VIGARPM0073;1221BFC;PM;unknown;nestling;NA;NA;NA;NA;16,05;NA;NA;NA
DIJ-015;pascal_joffre;2019;05/05/2019;02/04/2019;NA;NA;8;8;6;1;NA;NA;CLPECPM0066;1228BFC;PM;unknown;nestling;NA;NA;NA;NA;17,23;NA;NA;NA
DIJ-015;pascal_joffre;2019;05/05/2019;02/04/2019;NA;NA;8;8;6;1;NA;NA;VIGARPM0074;1223BFC;PM;unknown;nestling;NA;NA;NA;NA;13,66;NA;NA;NA
DIJ-016;chevreul;2019;10/05/2019;04/04/2019;13/04/2019;27/04/2019;11;10;0;0;NA;NA;DIJ-016-2019;NA;CC;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
DIJ-016;chevreul;2021;13/05/2021;05/04/2021;15/04/2021;30/04/2021;12;10;2;1;NA;NA;THPAGCC0708;V010253;CC;unknown;nestling;NA;NA;NA;NA;5,75;NA;12,10;18,00
DIJ-016;chevreul;2021;13/05/2021;05/04/2021;15/04/2021;30/04/2021;12;10;2;1;NA;NA;THPAGCC0709;V010254;CC;unknown;nestling;NA;NA;NA;NA;6,32;NA;11,92;17,00
DIJ-017;chevreul;2019;01/05/2019;27/03/2019;01/04/2019;14/04/2019;8;6;0;0;NA;NA;DIJ-017-2019;NA;PM;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
DIJ-017;chevreul;2021;05/05/2021;31/03/2021;06/04/2021;22/04/2021;8;8;2;1;8876505;7581728;CESINPM0112;8876505;PM;male;more_than_two;16,95;20,09;76,00;2,0;NA;NA;NA;NA
DIJ-017;chevreul;2021;05/05/2021;31/03/2021;06/04/2021;22/04/2021;8;8;2;1;8876505;7581728;CESINPM0113;V011211;PM;unknown;nestling;NA;NA;NA;NA;17,16;NA;19,63;48,00
DIJ-017;chevreul;2021;05/05/2021;31/03/2021;06/04/2021;22/04/2021;8;8;2;1;8876505;7581728;CESINPM0114;V011212;PM;unknown;nestling;NA;NA;NA;NA;16,60;NA;18,13;46,00
DIJ-017;chevreul;2021;05/05/2021;31/03/2021;06/04/2021;22/04/2021;8;8;2;1;8876505;7581728;CESINPM0115;7581728;PM;female;more_than_two;18,83;18,79;73,50;2,5;NA;NA;NA;NA
DIJ-023B;bd_strasbourg;2021;02/05/2021;29/03/2021;06/04/2021;19/04/2021;10;10;8;1;NA;NA;THPAGCC0059;V011041;CC;unknown;nestling;NA;NA;NA;NA;9,13;NA;14,83;34,50
DIJ-023B;bd_strasbourg;2021;02/05/2021;29/03/2021;06/04/2021;19/04/2021;10;10;8;1;NA;NA;THPAGCC0060;V011042;CC;unknown;nestling;NA;NA;NA;NA;9,73;NA;15,95;36,00
DIJ-023B;bd_strasbourg;2021;02/05/2021;29/03/2021;06/04/2021;19/04/2021;10;10;8;1;NA;NA;THPAGCC0061;V011043;CC;unknown;nestling;NA;NA;NA;NA;7,54;NA;14,67;26,00
DIJ-023B;bd_strasbourg;2021;02/05/2021;29/03/2021;06/04/2021;19/04/2021;10;10;8;1;NA;NA;THPAGCC0062;V011044;CC;unknown;nestling;NA;NA;NA;NA;9,53;NA;15,89;36,00
DIJ-023B;bd_strasbourg;2021;02/05/2021;29/03/2021;06/04/2021;19/04/2021;10;10;8;1;NA;NA;THPAGCC0063;V011045;CC;unknown;nestling;NA;NA;NA;NA;8,60;NA;15,57;31,50
DIJ-023B;bd_strasbourg;2021;02/05/2021;29/03/2021;06/04/2021;19/04/2021;10;10;8;1;NA;NA;THPAGCC0064;V011046;CC;unknown;nestling;NA;NA;NA;NA;5,28;NA;12,32;20,50
DIJ-023B;bd_strasbourg;2021;02/05/2021;29/03/2021;06/04/2021;19/04/2021;10;10;8;1;NA;NA;THPAGCC0065;V011047;CC;unknown;nestling;NA;NA;NA;NA;8,44;NA;15,02;32,00
DIJ-023B;bd_strasbourg;2021;02/05/2021;29/03/2021;06/04/2021;19/04/2021;10;10;8;1;NA;NA;THPAGCC0066;V011048;CC;unknown;nestling;NA;NA;NA;NA;10,23;NA;16,37;36,00
DIJ-025;prison;2021;02/05/2021;30/03/2021;06/04/2021;19/04/2021;9;8;1;1;NA;8877010;THPAGPM0067;8877010;PM;female;more_than_two;16,87;18,05;73,00;3,0;NA;NA;NA;NA
DIJ-025;prison;2021;02/05/2021;30/03/2021;06/04/2021;19/04/2021;9;8;1;1;NA;8877010;THPAGPM0068;V011049;PM;unknown;nestling;NA;NA;NA;NA;10,12;NA;15,68;27,00
DIJ-026;prison;2021;21/05/2021;14/04/2021;24/04/2021;09/05/2021;12;12;6;1;NA;NA;THPAGCC0901;NA;CC;unknown;nestling;NA;NA;NA;NA;6,22;NA;13,22;24,00
DIJ-026;prison;2021;21/05/2021;14/04/2021;24/04/2021;09/05/2021;12;12;6;1;NA;NA;THPAGCC0902;NA;CC;unknown;nestling;NA;NA;NA;NA;5,30;NA;13,16;22,00
DIJ-026;prison;2021;21/05/2021;14/04/2021;24/04/2021;09/05/2021;12;12;6;1;NA;NA;THPAGCC0903;NA;CC;unknown;nestling;NA;NA;NA;NA;6,07;NA;13,53;22,00
DIJ-026;prison;2021;21/05/2021;14/04/2021;24/04/2021;09/05/2021;12;12;6;1;NA;NA;THPAGCC0904;NA;CC;unknown;nestling;NA;NA;NA;NA;5,79;NA;12,77;25,00
DIJ-026;prison;2021;21/05/2021;14/04/2021;24/04/2021;09/05/2021;12;12;6;1;NA;NA;THPAGCC0905;NA;CC;unknown;nestling;NA;NA;NA;NA;5,10;NA;13,25;22,50
DIJ-026;prison;2021;21/05/2021;14/04/2021;24/04/2021;09/05/2021;12;12;6;1;NA;NA;THPAGCC0906;NA;CC;unknown;nestling;NA;NA;NA;NA;7,70;NA;14,21;27,00
DIJ-028;sq_creux_denfer;2019;10/05/2019;05/04/2019;10/04/2019;27/04/2019;7;7;0;0;NA;NA;DIJ-028-2019;NA;PM;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
DIJ-028;sq_creux_denfer;2021;01/05/2021;30/03/2021;04/04/2021;18/04/2021;7;7;7;1;8877006;8877007;THPAGPM0041;8877006;PM;male;more_than_two;17,17;20,55;75,00;1,0;NA;NA;NA;NA
DIJ-028;sq_creux_denfer;2021;01/05/2021;30/03/2021;04/04/2021;18/04/2021;7;7;7;1;8877006;8877007;THPAGPM0042;V011027;PM;unknown;nestling;NA;NA;NA;NA;15,45;NA;19,08;40,00
DIJ-028;sq_creux_denfer;2021;01/05/2021;30/03/2021;04/04/2021;18/04/2021;7;7;7;1;8877006;8877007;THPAGPM0043;V011028;PM;unknown;nestling;NA;NA;NA;NA;12,17;NA;19,60;41,00
DIJ-028;sq_creux_denfer;2021;01/05/2021;30/03/2021;04/04/2021;18/04/2021;7;7;7;1;8877006;8877007;THPAGPM0044;V011029;PM;unknown;nestling;NA;NA;NA;NA;10,53;NA;17,16;30,00
DIJ-028;sq_creux_denfer;2021;01/05/2021;30/03/2021;04/04/2021;18/04/2021;7;7;7;1;8877006;8877007;THPAGPM0045;V011030;PM;unknown;nestling;NA;NA;NA;NA;13,03;NA;18,51;39,00
DIJ-028;sq_creux_denfer;2021;01/05/2021;30/03/2021;04/04/2021;18/04/2021;7;7;7;1;8877006;8877007;THPAGPM0046;V011031;PM;unknown;nestling;NA;NA;NA;NA;10,32;NA;16,45;30,00
DIJ-028;sq_creux_denfer;2021;01/05/2021;30/03/2021;04/04/2021;18/04/2021;7;7;7;1;8877006;8877007;THPAGPM0047;V011032;PM;unknown;nestling;NA;NA;NA;NA;11,92;NA;14,26;35,00
DIJ-028;sq_creux_denfer;2021;01/05/2021;30/03/2021;04/04/2021;18/04/2021;7;7;7;1;8877006;8877007;THPAGPM0048;8877007;PM;female;two;16,41;19,42;70,50;2,5;NA;NA;NA;NA
DIJ-028;sq_creux_denfer;2021;01/05/2021;30/03/2021;04/04/2021;18/04/2021;7;7;7;1;8877006;8877007;THPAGPM0049;V011033;PM;unknown;nestling;NA;NA;NA;NA;16,08;NA;19,61;42,00
DIJ-030;sq_creux_denfer;2019;13/05/2019;08/04/2019;NA;NA;9;8;4;1;NA;NA;CLPECPM0468;8791433;PM;unknown;nestling;NA;NA;NA;NA;13,10;NA;NA;NA
DIJ-030;sq_creux_denfer;2019;13/05/2019;08/04/2019;NA;NA;9;8;4;1;NA;NA;VIGARPM0430;8791434;PM;unknown;nestling;NA;NA;NA;NA;10,60;NA;NA;NA
DIJ-030;sq_creux_denfer;2019;13/05/2019;08/04/2019;NA;NA;9;8;4;1;NA;NA;CLPECPM0469;8791435;PM;unknown;nestling;NA;NA;NA;NA;15,50;NA;NA;NA
DIJ-030;sq_creux_denfer;2019;13/05/2019;08/04/2019;NA;NA;9;8;4;1;NA;NA;VIGARPM0431;8791436;PM;unknown;nestling;NA;NA;NA;NA;10,00;NA;NA;NA
DIJ-031;sq_jean_bouin;2019;30/04/2019;27/03/2019;NA;NA;9;9;7;1;NA;NA;CLPECPM0013;8381947;PM;unknown;nestling;NA;NA;NA;NA;19,52;NA;19,00;49,0
DIJ-031;sq_jean_bouin;2019;30/04/2019;27/03/2019;NA;NA;9;9;7;1;NA;NA;VIGARPM0020;8381948;PM;unknown;nestling;NA;NA;NA;NA;18,02;NA;17,90;45,5
DIJ-031;sq_jean_bouin;2019;30/04/2019;27/03/2019;NA;NA;9;9;7;1;NA;NA;VIGARPM0021;8381941;PM;unknown;nestling;NA;NA;NA;NA;18,12;NA;19,10;48,0
DIJ-031;sq_jean_bouin;2019;30/04/2019;27/03/2019;NA;NA;9;9;7;1;NA;NA;VIGARPM0022;8381945;PM;unknown;nestling;NA;NA;NA;NA;17,57;NA;19,00;46,0
DIJ-031;sq_jean_bouin;2019;30/04/2019;27/03/2019;NA;NA;9;9;7;1;NA;NA;VIGARPM0023;8381944;PM;unknown;nestling;NA;NA;NA;NA;17,08;NA;17,80;47,5
